1906,中美海洋战略与政策二轨对话,亨利杜南人道主义对话中心,北京大学海洋研究院,北京市,2019.07.24-2019.07.25
1905,长春社资助芒市菲氏叶猴保护地低碳生态示范村项目,长春社,云南省绿色环境发展基金会,云南省,2019.07.19-2020.07.18
1904,九龙总商会2019年新纪元精英培训计划顺德段活动,九龙总商会,佛山市顺德区工商业联合会,广东省,2019.07.13-2019.07.15
1903,北京爱瞳行动,国际狮子会基金会,中国狮子联会,北京市,2019.06.24-2019.08.31
1902,东北亚和平、安全与合作研讨会,麦克与莫琳曼斯菲尔德基金会,中国国际问题研究院,北京市,2019.06.12-2019.06.14
1901,光华奖学金,光华教育基金会有限公司,北京对外经济贸易大学教育基金会,北京市,2019.11.01-2019.12.31
1900,普林斯顿在亚洲教师项目,普林斯顿在亚洲,外交学院,北京市,2019.07.21-2020.07.15
1899,2019暑期英语口语培训,教育文化基金会,杭州基督教女青年会,浙江省,2019.07.15-2019.07.26
1898,弥渡县――慈恩基金会善缘广结助学金2019,慈恩基金会有限公司,弥渡县委统战部（侨办）,云南省,2019.08.08-2020.08.07
1897,“”青年生活体验实践计划2019-学习篇“”,澳门青年身心发展协会,中山市港澳事务局,广东省,2019.06.25-2019.06.26
1896,烟台大学学生心理健康素质提升计划,铁姆肯家族私人慈善基金 ,烟台大学大学生心理健康教育指导中心,山东省,2019.09.01-2020.08.31
1895,促进人工智能国际合作研讨会,亨利·杜南人道主义对话中心,中国国际问题研究院,北京市,2019.06.24-2019.06.25
1894,结伴成长计划,結伴同行慈善基金有限公司,化州市长岐镇东方小学、化州市长岐镇双牌小学,广东省,2019.06.01-2020.05.31
1893,美国国家战略语言青少年计划暑期夏令营项目,美国文化交流服务中心,西北大学,陕西省,2019.06.29-2019.08.12
1892,同乐共舞交流活动,澳门健康舞体育协会,中山市三角镇统侨办,广东省,2019.07.05-2019.07.05
1891,箭牌基金垃圾减量项目,国际环境教育基金会,环境保护部宣传教育中心,"吉林省,上海市,湖北省,广东省,四川省,云南省,贵州省,山东省,江苏省,浙江省,天津市,内蒙古自治区,湖南省,陕西省,重庆市,广西壮族自治区,北京市,河北省",2019.02.01-2019.12.31
1890,清华大学吕志和楼项目,吕志和慈善基金,清华大学教育基金会,北京市,2019.08.01-2020.07.31
1889,2019年9月 连南瑶族自治县“扶贫复明”活动,力行植林慈善基金会,连南瑶族自治县残疾人联合会,广东省,2019.09.22-2019.09.30
1888,农疗康复训练基地精神康复技术指导服务,新生精神康复会,广州市民政局精神病院,广东省,2019.07.08-2020.05.08
1887,青海省农村牧区社会工作人才队伍建设项目,德国米苏尔社会发展基金会,青海省社会工作协会,青海省,2019.06.11-2020.05.20
1886,第16届日照·平泽中韩书画交流活动,社团法人韩国书艺协会平泽市支部,日照市美术家协会 ,山东省,2019.08.05-2019.08.09
1885,“2019中国心·粤澳情”开平站,澳门开平青年会,开平市马冈镇社会事务办公室,广东省,2019.07.15-2019.07.16
1884,近零碳排放社区智能垃圾分类技术应用商业模式推广研究,可持续发展社区协会,中山市小榄低碳发展促进中心,广东省,2019.07.10-2020.06.30
1883,极度濒危植物水松的综合保护 第3年（2019）,国际植物园保护联盟,中国科学院华南植物园,"广西壮族自治区,广东省",2019.08.01-2019.12.31
1882,香港荃工校友会慈善基金到郁南县河口镇中心小学开展公,香港荃湾官立工业中学校友会慈善基金有限公司,广东省云浮市郁南县河口镇中心小学,广东省,2019.06.15-2020.06.14
1881,苍梧县六堡镇初级中学夏令班,育苗行动有限公司,苍梧县六堡镇六堡初级中学,广西壮族自治区,2019.07.06-2019.07.14
1880,HandsOn2019-2020UPS安全驾驶规则,UPS 基金会,上海市闵行区牵手上海志愿者工作服务中心,上海市,2019.10.01-2020.02.29
1879,内蒙古大学笹川良一优秀青年奖学基金,公益财团法人  东京财团政策研究所,内蒙古大学,内蒙古自治区,2019.06.17-2020.06.16
1878,小扁担励学行动6月广东广宁励学团,香港中文大学校友会联会教育基金会有限公司-小扁担励学行动,广宁县教育局学生资助管理办公室,广东省,2019.06.29-2019.07.01
1877,2019年潘文渊文教基金奖学金,财团法人潘文渊文教基金会,西安交通大学教育基金会,陕西省,2019.06.11-2020.06.10
1876,第11届仿真工具及其技术EAI国际会议,欧洲创新联盟,电子科技大学,四川省,2019.07.08-2019.07.10
1875,云南大理州云龙县助学金2019--曾萧金玲爱心行动,慈恩基金会有限公司,云龙县委统战部（县侨办）,云南省,2019.07.26-2020.07.25
1874,云南大理州云龙县助学金2019--骆胡庆云爱心行动,慈恩基金会有限公司,云龙县委统战部（县侨办）,云南省,2019.07.26-2020.07.25
1873,智行教育促进会--智行云龙助学爱心行动,智行教育促进会（香港）有限公司,云龙县委统战部（县侨办）,云南省,2019.07.26-2020.07.25
1872,慈恩基金会善缘广结助学金2019--云龙县,慈恩基金会有限公司,云龙县委统战部（县侨办）,云南省,2019.07.26-2020.07.25
1871,香港慈恩基金－－科立村古天乐第125卫生室援建,慈恩基金会有限公司,云龙县委统战部（县侨办）,云南省,2019.07.26-2020.07.25
1870,慈恩基金会--古天乐基金中国助学(云龙)2019,慈恩基金会有限公司,云龙县委统战部（县侨办）,云南省,2019.07.26-2020.07.25
1869,美国国际教育交流协会（CIEE）合作项目,美国国际教育交流协会,华东师范大学国际教育中心,上海市,2019.04.11-2020.04.10
1868,林书豪——平湖篮球训练基地项目评估,TEAM ESFACE公司,平湖市教育局,浙江省,2019.05.21-2019.05.26
1867,中国社区基金会小额支持公益项目,社区基金会全球基金,福建省正荣公益基金会,福建省,2019.03.01-2019.12.31
1866,鹤庐英语培训,亚洲文化中心,九江外国语学校,江西省,2019.07.08-2019.07.26
1865,贝利马丁基金会江西省艾滋病人关怀救助项目,贝利马丁基金会,南昌彩虹健康咨询公益服务中心,江西省,2019.06.11-2020.04.30
1864,“智能虚拟桌面行为分析”科研项目合作,美国慈善援助基金会,东南大学科研院,江苏省,2019.05.01-2019.12.31
1863,“基本生命支持术导师课程”训练器材捐赠与课程开展,香港护士训练及教育基金有限公司,开平市中心医院,广东省,2019.07.01-2020.06.30
1862,贫困学生家庭探访及助学金发放活动,向山举目助学金,始兴县学生资助管理中心,广东省,2019.07.20-2019.07.22
1861,爱心之友贫困学生助学金发放活动,爱心之友中国教育（慈善）基金会,始兴县学生资助管理中心,广东省,2019.08.10-2019.08.14
1860,爱心粤北山区探访工作坊,爱心（慕名）慈善基金会有限公司,连南瑶族自治县香坪镇中心学校,广东省,2019.07.01-2019.07.01
1859,仪陇县贫困乡村留守儿童特困儿童关爱陪伴助学项目,为普顾问有限公司,仪陇县乡村发展协会,四川省,2019.09.01-2020.08.31
1858,北野财团奖学金,公益财团法人北野终生教育振兴会,天津南开大学教育基金会,天津市,2019.06.17-2020.05.31
1857,江门市赴港人士定居服务（期望管理计划）,新家园协会有限公司,江门市江海区晨光社会工作综合服务中心,广东省,2019.06.15-2019.10.31
1856,共建一个家暨築+公益计划,钜星国际慈善会,五邑慈善会,广东省,2019.07.01-2019.12.31
1855,香港慈恩基金会2019巍山县暑期英语教师培训班,慈恩基金会有限公司,巍山县人民政府侨务办公室 ,云南省,2019.07.27-2019.08.08
1854,巍山县——慈恩基金会善缘广结助学金2019,慈恩基金会有限公司,巍山县人民政府侨务办公室   ,云南省,2019.08.10-2020.08.09
1853,韩国新思路支持“为了明天——关爱儿童”项目,社团法人新思路,中华慈善总会,"河南省,湖北省,湖南省",2019.05.31-2020.05.30
1852,香港童军总会西贡区到小榄开展交流联谊活动,香港童军总会西贡区,中共中山市小榄镇委员会统侨办公室,广东省,2019.06.30-2019.07.01
1851,香港会宁同乡会【爱心助学•回乡送暖】,香港会宁同乡会有限公司,四会市儿童福利会,广东省,2019.06.15-2019.06.30
1850,香港会宁同乡会【爱心助学•回乡送暖】,香港会宁同乡会有限公司,四会市志愿者联合会,广东省,2019.06.15-2019.06.30
1849,黄廷方慈善基金有限公司向河南财经政法大学捐款,黄廷方慈善基金有限公司,河南财经政法大学,河南省,2019.07.08-2020.07.07
1848,蒋震工业慈善基金会奖助学金,蒋震工业慈善基金（香港）有限公司,哈尔滨工业大学港澳台办公室,黑龙江省,2019.01.01-2019.12.31
1847,残疾人帮扶增能计划,UPS基金会,海盐县民联社工服务中心,浙江省,2019.06.15-2020.06.14
1846,香港航空青年团大湾区考察之旅2019,香港航空青年团,深圳市青年联合会,广东省,2019.07.01-2019.07.04
1845,濒危植物天目铁木的综合保护,国际植物园保护联盟,杭州植物园(杭州市园林科学研究院),浙江省,2019.02.27-2019.12.31
1844,2019年苏台现代农业与生物科技论坛,台湾生物资源暨农业经贸交流协会,江苏省科协农村技术服务中心,江苏省,2019.07.02-2019.07.06
1843,美国仁德慈善基金会定向捐赠文昌阁小学图书馆项目,美国仁德慈善基金会,湖南省华侨公益基金会,湖南省,2019.06.22-2020.06.21
1842,普林斯顿在亚洲暑期服务项目,普林斯顿在亚洲组织,吉首大学师范学院,湖南省,2019.07.01-2019.08.15
1841,普林斯顿在亚洲教学服务项目,普林斯顿在亚洲组织,吉首大学师范学院,湖南省,2019.08.30-2020.07.25
1840,香港鼎湖同乡会回乡访问活动,香港鼎湖同乡联谊会有限公司,肇庆市鼎湖区台港澳事务局,广东省,2019.06.25-2019.06.25
1839,湖南大学NITORI国际奖学金,公益财团法人 似鸟国际奖学财团,湖南大学教育基金会,湖南省,2019.06.15-2019.12.31
1838,江西南康麻风康复院院舍服务,利玛窦社会服务基金会,江西省赣州市南康区皮肤病防治所,江西省,2019.06.20-2020.06.19
1837,大卫和露西尔帕卡德基金会提供湿地和海洋保护研究资金,大卫和露西尔·帕卡德基金会,上海交通大学海洋学院,上海市,2019.05.13-2020.01.31
1836,加拿大白求恩医学发展协会-黄石市中心医院学术交流,加拿大白求恩医学发展协会,鄂东医疗集团市中心医院,湖北省,2019.05.15-2019.05.16
1835,香港荃工校友会慈善基金向大岗镇谭珠小学、大钟教学点,香港荃湾官立工业中学校友会慈善基金有限公司,怀集县大岗镇中心小学,广东省,2019.06.15-2020.06.14
1834,中山大学住友电工集团奖学金,公共财团法人住友电工集团社会贡献基金,广东省中山大学教育发展基金会,广东省,2019.06.30-2019.12.30
1833,长三角全球科创项目集中路演,欧盟中国城市发展委员会,嘉兴港区招商局,浙江省,2019.04.26-2019.04.27
1832,粤港澳风景园林行业应对台风灾害论坛,"香港园境师学会,澳门园景绿化促进会",广东风景园林协会,广东省,2019.06.21-2019.06.22
1831,给生命一个肢点——汉达流动假肢项目,UPS基金会,广东省汉达康福协会,广东省,2019.07.01-2020.06.30
1830,2019年 梅县区“扶残助学”活动,力行植林慈善基金会,梅州市梅县区残疾人联合会,广东省,2019.08.18-2019.08.21
1829, 梅县区“扶贫复明”活动,力行植林慈善基金会,梅州市梅县区残疾人联合会,广东省,2019.11.10-2020.03.28
1828,霞山会《以中国大学在校学生为对象的奖学金项目》,一般财团法人霞山会,辽宁大学外国语学院,辽宁省,2019.05.06-2020.05.05
1827,获嘉县捐资助教项目,慈恩基金会有限公司,获嘉县史庄镇史庄小学,河南省,2019.05.30-2020.04.29
1826,获嘉县捐资助教项目,慈恩基金会有限公司,获嘉县徐营镇第二初级中学,河南省,2019.05.30-2020.04.29
1825,获嘉县捐资助教项目,慈恩基金会有限公司,获嘉县史庄镇吴庄小学,河南省,2019.05.30-2020.04.29
1824,获嘉县捐资助教项目,慈恩基金会有限公司,河南省获嘉县凯旋路小学,河南省,2019.05.30-2020.04.29
1823,朋辈辅导员工作坊,关顾童心行动有限公司,广东省韶关市曲江职业技术学校,广东省,2019.06.19-2019.06.21
1822,朋辈辅导员工作坊,关顾童心行动有限公司,韶关市曲江职业技术学校,广东省,2019.12.18-2019.12.20
1821,全球海洋生物多样性保护项目,绿色和平,中国国际民间组织合作促进会,"北京市,上海市,山东省,广东省,黑龙江省,河北省",2019.06.10-2020.06.09
1820,八甲基环四硅氧烷（D4）在中国的环境风险评估,全球有机硅委员会,生态环境部固体废物与化学品管理技术中心,北京市,2019.05.11-2020.05.10
1819,气候变化传播能力建设项目,中外对话,中国国际民间组织合作促进会,北京市,2019.05.24-2020.01.31
1818,中国天然林禁伐后的木材供给,森林趋势协会,中国林业科学研究院林业科技信息研究所,"北京市,黑龙江省",2019.05.30-2019.08.15
1817,2019北京大学光华管理学院两岸优秀学子交流项目,光华教育基金会有限公司,北京大学教育基金会,"北京市,云南省",2019.07.10-2019.10.01
1816,2019北京大学国际战略研究院董氏基金,香港董氏慈善基金会,北京大学教育基金会,北京市,2019.06.10-2020.05.30
1815,2019百贤亚洲未来领袖奖学金,百贤教育基金会有限公司,北京大学教育基金会,北京市,2019.06.10-2020.05.30
1814,2019北京大学NITORI国际奖学金及其相关活动,公益财团法人似鸟国际奖学金财团,北京大学教育基金会,北京市,2019.09.01-2020.08.31
1813,2019新闻与传播学院学科建设发展基金,信兴教育及慈善基金有限公司,北京大学教育基金会,北京市,2019.06.10-2020.05.31
1812,2019人权教学研究项目,罗尔•瓦伦堡人权与人道法研究所,北京大学教育基金会,北京市,2019.06.10-2020.05.31
1811,北京大学新闻与传播学院大楼建设项目,信兴教育及慈善基金有限公司,北京大学教育基金会,北京市,2019.06.10-2020.05.31
1810,2019新结构经济学杰出青年学者基金,信兴教育及慈善基金有限公司,北京大学教育基金会,北京市,2019.06.10-2020.05.31
1809,中国特有寡属种植物——长果安息香就地和迁地综合保护,国际植物园保护联盟,湖南省森林植物园,湖北省,2019.05.13-2019.12.31
1808,中国特有寡属种植物——长果安息香就地和迁地综合保护,国际植物园保护联盟,湖南省森林植物园,湖南省,2019.05.13-2019.12.31
1807,中国特有寡属种植物——长果安息香就地和迁地综合保护,国际植物园保护联盟,湖南省森林植物园,湖南省,2019.05.13-2019.12.31
1806,中国特有寡属种植物——长果安息香就地和迁地综合保护,国际植物园保护联盟,湖南省森林植物园,湖南省,2019.05.13-2019.12.31
1805,中国特有寡属种植物——长果安息香就地和迁地综合保护,国际植物园保护联盟,湖南省森林植物园,湖南省,2019.05.13-2019.12.31
1804,食品品质快速检测方法研究,詹姆斯和苏珊禾基金会,闽江学院,福建省,2019.06.06-2020.06.05
1803,2019泛华统计协会中国会议,泛华统计协会,南开大学陈省身数学研究所,天津市,2019.07.01-2019.07.04
1802,儿童先心病教学培训项目,儿童心连心,泰达国际心血管病医院,天津市,2019.06.10-2019.12.31
1801,2019年度安德希望小学探访活动,是德科技基金会,中国青少年发展基金会,四川省,2019.06.12-2020.06.11
1800,清华大学战略与安全研究中心,香港董氏慈善基金,清华大学教育基金会,北京市,2019.07.01-2020.06.30
1799,“笹川良-优秀青年奖学基金”项目运营活动,"公益财团法人 东京财团政策研究所,公益财团法人 东京财团政策研究所",中国教育国际交流协会,"北京市,上海市,江苏省,吉林省,甘肃省,重庆市,内蒙古自治区,新疆维吾尔自治区,云南省,广东省",2019.06.08-2020.06.07
1798,德西福格奖学金,弗朗克德西福格基金会,上海同济大学教育发展基金会,上海市,2018.09.20-2019.06.30
1797,儿童心连心——青岛市妇女儿童医院先心病教育培训项目,儿童心连心,青岛市妇女儿童医院,山东省,2019.06.10-2019.06.14
1796,朋辈辅导员工作坊,关顾童心行动有限公司,韶关市曲江职业技术学校,广东省,2019.11.12-2019.11.14
1795,“蓝色先锋计划”— 中国本土海洋保护人才培训,大卫和露希尔帕卡德基金会,昆山杜克大学,江苏省,2019.08.03-2019.11.14
1794,童心享阅•书香流传  ——万册图书进山,UPS基金会,苏州衣加衣公益服务中心,"四川省,贵州省",2019.01.01-2019.12.31
1793,“中国脑瘫康复教育网络”培训活动,德国明爱,河北进德公益基金会,河北省,2019.05.17-2019.12.31
1792,仪陇清寒优秀学生奖学金项目,无为和谐基金会,仪陇县乡村发展协会,四川省,2019.09.01-2020.08.31
1791,仪陇县乡村小学远程教育项目,无为和谐基金会,仪陇县乡村发展协会,四川省,2019.09.01-2020.08.31
1790,2019年新会区高中英语教师专业训练营,爱德基金会（香港）,江门市新会区教育学会,广东省,2019.07.15-2019.07.21
1789,江门市新会区大泽镇2019年龙舟文化活动,澳门新会大泽同乡会,江门市新会区大泽镇党政办公室,广东省,2019.06.15-2019.06.30
1788,普贤会助学探访活动,香港普贤教育促进会有限公司,连南民族高级中学,广东省,2019.06.09-2019.06.12
1787,FWM轮椅捐赠项目,美国免费轮椅组织,河南省残疾人福利基金会,河南省,2019.05.31-2020.05.30
1786,香港福幼基金会有限公司资助融水民族中学女童学生,"香港福幼基金会有限公司,香港福幼基金会有限公司",广西柳州融水苗族自治县教育局,广西壮族自治区,2019.04.19-2019.07.31
1785,2019年新鸿基地产郭氏基金西安交通大学奖助学金,新鴻基地產郭氏基金有限公司,西安交通大學教育基金会,陕西省,2019.05.21-2020.05.20
1784,2019年西安交通大学王宽诚教育基金,王宽诚教育基金会,西安交通大学教育基金会,陕西省,2019.05.08-2019.12.31
1783,第十二届国际康复工程和辅助技术大会,亚洲康复工程与辅助技术联盟,上海理工大学,上海市,2018.07.14-2018.07.16
1782,捐助乳源县人民医院购置显微镜经费,联业合力堂慈善基金有限公司,乳源瑶族自治县人民医院,广东省,2019.05.29-2020.05.28
1781,长三角地区船舶大气排放的环境及健康效应国际研讨会,健康效应研究所,复旦大学环境科学与工程系,上海市,2019.05.24-2019.05.24
1780,澳门阮氏宗亲会端午开展敬老活动,澳门阮氏宗亲会,中山市沙溪镇镇象角村民委员会,广东省,2019.06.07-2019.06.07
1779,香港亚洲防盲基金会眼科流动手术车捐赠仪式,亚洲防盲基金会,惠州市第三人民医院,广东省,2019.05.17-2019.06.14
1778,香港余氏宗亲会捐赠风采月刊社办刊经费活动（2）,香港余氏宗亲会,广东省台山市风采月刊社,广东省,2019.05.25-2019.05.25
1777,台澳青年排球交流活动,澳门台山青年会,台山市海外联谊会,广东省,2019.06.08-2019.06.09
1776,宏施基金6月志愿者培训活动,宏施慈善基金,韶关市曲江区志愿者协会,广东省,2019.06.14-2019.06.15
1775,第11届全球华人羽毛球团体锦标赛,全球华人羽毛球会,绍兴市奥体中心运营管理有限公司,浙江省,2019.05.17-2019.05.19
1774,加拿大移民政策分享沙龙,加拿大中华文化中心,台山市侨界青年联合会,广东省,2019.06.07-2019.06.07
1773,台山市端芬镇卫生院综合楼建设捐赠活动,梅洪旺-曹长顺教育基金,广东省江门市台山市端芬镇卫生院,广东省,2019.11.01-2020.10.31
1772,日本黄河森林绿化网络验收造林绿化项目,黄河森林绿化网络,鄂托克前旗妇女绿化协会,内蒙古自治区,2019.05.30-2019.06.02
1771, 美国国际教育交流协会“外教来渝任教”项目,美国国际教育交流协会,中国国际人才市场重庆市场,重庆市,2019.05.09-2020.05.08
1770,《卡地亚当代艺术基金会: 陌生风景》展览,卡地亚基金会,上海当代艺术博物馆（筹）,上海市,2018.05.16-2018.07.29
1769,教育农场项目,精进基金有限公司,北川羌族自治县大鱼青少年公益发展中心,四川省,2019.05.24-2020.05.23
1768,校园青年生殖健康素养教育促进,亚洲基督教高等教育联合董事会,四川大学,四川省,2019.09.13-2020.09.12
1767,中国心资助困境家庭妈妈“港湾计划”发展项目,德国米苏尔社会发展基金会,北川羌族自治县大鱼青少年公益发展中心,四川省,2019.05.24-2020.05.23
1766,为捐建岷县顾家沟、郎家庙、山沟、占扎路小学奠基验收,信望爱慈善基金有限公司,岷县教育局,甘肃省,2019.05.21-2020.05.20
1765,同心、同力、同行论坛及晚宴,贝塔斯曼基金会,上海复恩社会组织法律研究与服务中心,上海市,2019.05.30-2020.05.29
1764,香港中学闪游大湾区计划,大湾区香港中心有限公司,广东省粤港澳合作促进中心,广东省,2019.07.01-2020.06.30
1763,为2016级10名学生发放每人500元奖学金,新鸿基地产郭氏基金有限公司,甘肃省临洮中学,甘肃省,2019.05.22-2019.05.22
1762,陕西省合阳县农村贫困妇女主导的精准扶贫与社区发展项,嘉道理慈善基金会,陕西妇源汇性别发展中心,陕西省,2019.04.22-2019.12.31
1761,2019北京大学燕京学堂人才培养及文化交流项目,百贤教育基金会有限公司,北京大学教育基金会,北京市,2019.05.10-2020.04.30
1760,2019蒋震奖学金、海外学术交流奖学金及相关活动,蒋震工业慈善基金（香港）有限公司,北京大学教育基金会,北京市,2019.05.10-2020.05.01
1759,2019北京大学经济学院ACLI奖学金,美国寿险业协会,北京大学教育基金会,北京市,2019.05.12-2019.11.30
1758,北京大学黄廷方/信和教育基金,黄廷方慈善基金有限公司,北京大学教育基金会,北京市,2019.05.10-2020.05.04
1757,LDSC(当代仁爱会)轮椅项目,当代仁爱会,中华慈善总会,"山东省,陕西省,湖北省,青海省,河北省,江西省,广东省",2019.05.31-2020.05.30
1756,LDSC(当代仁爱会)旱厕改水厕项目,当代仁爱会,中华慈善总会,"河南省,贵州省,陕西省",2019.05.31-2020.05.30
1755,LDSC(当代仁爱会)饮水项目,当代仁爱会,中华慈善总会,"广西壮族自治区,山东省",2019.05.31-2020.05.30
1754,LDSC（当代仁爱会）支持南昌社会福利院洗衣房项目,当代仁爱会,中华慈善总会,江西省,2019.05.31-2020.05.30
1753,LDSC(当代仁爱会)支持绥德六小购买洗浴设备项目,当代仁爱会,中华慈善总会,陕西省,2019.05.31-2020.05.30
1752,《社会工作在少年司法工作中的作用》论文集出版活动,罗尔·瓦伦堡人权与人道法研究所,北京青少年社会工作研究院,北京市,2019.05.27-2020.04.12
1751,“惠苗幼师同行计划”培训,香港惠苗协会有限公司,广西壮族自治区教师培训中心,广西壮族自治区,2019.04.19-2019.04.25
1750,上海财经大学思源助学金捐赠,思源基金会,上海财经大学教育发展基金会,上海市,2019.12.01-2020.02.20
1749,助学金捐赠,思源基金会,上海财经大学教育发展基金会,上海市,2020.12.01-2021.02.20
1748,社区食物银行,美国慈善援助基金会,上海和绿社区公益发展中心,上海市,2019.03.15-2020.01.31
1747,香港校友会紫荆奖学金捐赠,上海财经大学香港校友会有限公司,上海财经大学教育发展基金会,上海市,2019.09.10-2020.02.20
1746,台湾校友会郭秉文雕像捐赠项目,上海财经大学台湾校友会,上海财经大学教育发展基金会,上海市,2019.09.01-2019.11.18
1745,甘肃省初创期社会组织财务督导项目,德国米苏尔社会发展基金会,甘肃兴邦社会工作服务中心,甘肃省,2019.04.23-2019.05.23
1744,支持浙江大学理学部高端人才培养与引进,香港浙江大学教育基金会有限公司,浙江大学教育基金会,浙江省,2019.03.02-2020.03.01
1743,支持文化中国人才计划,澳门同济慈善会,浙江大学教育基金会,浙江省,2019.04.16-2020.04.15
1742,浙江大学生仪学院晶钻助学金,浙江大学美国教育基金会,浙江大学教育基金会,浙江省,2019.01.18-2020.01.10
1741,董氏东方文史哲研究奖励基金,香港浙江大学教育基金会有限公司,浙江大学教育基金会,浙江省,2019.04.30-2020.04.20
1740,中美教育基金中国机遇奖学金,张福运基金会/中美教育基金会,山东大学,山东省,2019.04.10-2019.04.30
1739,粤港澳大湾区澳门青年实习计划,中华青年进步协会,广东省人民政府港澳事务办公室,广东省,2019.06.01-2019.08.31
1738,粤港澳大湾区香港青年实习计划,香港青年协进会,广东省人民政府港澳事务办公室,广东省,2019.05.20-2019.08.31
1737,引水入户,新鸿基地产郭氏基金有限公司,渭源县大安乡人民政府,甘肃省,2019.05.10-2019.05.20
1736,滑县青少年夏令营,天邻基金会有限公司,滑县慈善总会,河南省,2019.07.21-2019.07.27
1735,第二届新计算环境安全与隐私国际学术会议,欧洲创新联盟,南开大学计算机学院,天津市,2019.04.13-2019.04.14
1734,清华大学黄廷方奖学金,黄廷方慈善基金有限公司,清华大学教育基金会,北京市,2019.09.10-2020.09.09
1733,2019年天行者山区爱心活動,香港天行者慈善基金有限公司,连南瑶族自治县民族高级中学,广东省,2019.04.25-2019.12.20
1732,送关怀，送温暖，关爱山区弱势人群，共助山区繁荣富强,香港天行者慈善基金有限公司,共青团阳山县委员会,广东省,2019.05.02-2019.12.20
1731,2019拯救地球绿色团Workcamp,韩中文化青少年协会（未来林）,中国共产主义青年团达拉特旗委员会,内蒙古自治区,2019.04.21-2020.04.20
1730,反歧视与人权研究项目和社会性别与人权人权师资项目,罗尔∙瓦伦堡人权与人道法研究所,中国政法大学,北京市,2019.05.20-2019.12.31
1729,高中生助学,慈恩基金会有限公司,甘肃省静宁县成纪中学,甘肃省,2019.04.18-2019.06.30
1728,甘肃省关爱,慈恩基金会有限公司,甘肃省外事服务中心,甘肃省,2019.04.30-2020.04.29
1727,成长希望基金会探访东乡县留守儿童驻校社工和女童助学,成长希望基金会,甘肃兴邦社会工作服务中心,甘肃省,2019.05.01-2019.07.01
1726,2018-2019六盘水师范学院学生补助,慈恩基金会有限公司,六盘水市智力支边联系小组办公室,贵州省,2019.05.05-2019.06.30
1725,2018-2019学年派发高中生助学金,慈恩基金会有限公司,六盘水市智力支边联系小组办公室,贵州省,2019.05.05-2019.06.30
1724,思南县高中助学项目,慈恩基金会有限公司,思南县第六中学,贵州省,2019.04.03-2019.06.30
1723,思南县高中助学项目,慈恩基金会有限公司,思南县第九中学,贵州省,2019.04.08-2019.06.30
1722,接待马丁·墨菲博士的访问和出席相关活动,防癌抗癌总裁圆桌会,上海拓新健康促进中心,上海市,2019.03.13-2019.12.31
1721,举办第六届防癌抗癌总裁圆桌会中国年会,防癌抗癌总裁圆桌会,上海拓新健康促进中心,上海市,2019.03.25-2019.12.31
1720,继续工作场所健康指南推广,防癌抗癌总裁圆桌会,上海拓新健康促进中心,上海市,2019.03.25-2019.12.31
1719,美国国际教育交流协会（CIEE）“来华任教”项目,美国国际教育交流协会,上海徐汇区百辉教育进修学校,上海市,2019.01.30-2020.01.30
1718,农业生物多样性科普教育和保护倡导,德国粮惠世界,云南思力生态替代技术中心,云南省,2019.04.29-2019.12.31
1717,支持青海本土社会工作实务研究与组织能力提升项目,德国米苏尔社会发展基金会,青海省社会工作协会,青海省,2019.05.01-2019.12.31
1716,端州与新西兰学生研学互访活动,西伊中新有限公司,肇庆市奥威斯实验小学,广东省,2019.05.20-2019.12.30
1715,高中生助学,慈恩基金会有限公司,甘肃省静宁县威戎中学,甘肃省,2019.04.10-2019.12.31
1714,广州市社会福利院香港福幼基金会合作牙科诊室综合服务,福幼基金会有限公司,广州市社会福利院,广东省,2019.03.27-2019.12.31
1713,李嘉诚基金会捐助青海塔尔寺藏医院医疗扶贫计划,李嘉诚基金会有限公司,青海省塔尔寺藏医院,"青海省,四川省,西藏自治区",2019.04.16-2019.12.31
1712,上海理工大学教育发展基金会有限公司捐赠奖学金,上海理工大学教育发展基金会有限公司,上海理工大学教育发展基金会,上海市,2018.12.31-2018.12.31
1711,JiuqianCenter fortheRural,美国慈善援助基金会,上海久牵志愿者服务社,上海市,2019.02.01-2020.01.31
1710,中德航运经济及数字化交流会,德国物流联盟,上海国际航运中心发展促进会,上海市,2018.05.15-2018.05.15
1709,｢两地一心｣扶贫助学探访,两地一心,全州县全州高级中学,广西壮族自治区,2019.05.11-2020.05.10
1708,“药物警戒”培训项目,美国药品研究与制造企业协会,北京大学临床研究所,北京市,2019.04.23-2019.04.25
1707,江门市新会区双水镇教育事业发展之奖学助学资金筹募,谭兆慈善基金,江门市新会区双水镇教育促进会,广东省,2019.05.15-2019.12.31
1706,云南大学 “香港思源奖助学金”（2018年）,思源基金会,云南大学,云南省,2019.04.25-2019.06.25
1705,西充国际有机产业创新发展（首届）峰会,国际有机农业亚洲联盟,西充县人民政府,四川省,2019.05.29-2019.06.01
1704,中小食品生产企业食品安全及质量管理提升计划,沃尔玛基金会,中国连锁经营协会,"北京市,上海市,广东省,山东省,云南省",2018.10.05-2019.01.31
1703,促进社会组织参与社区发展项目,粮惠世界,中国国际民间组织合作促进会,"湖南省,重庆市,陕西省,黑龙江省",2019.04.08-2020.04.07
1702,乐益儿童快乐游戏及发展项目,运动机会国际,中国友好和平发展基金会,"北京市,四川省,云南省,上海市",2019.04.10-2020.04.09
